"planning unit","number","available","partial","reserved"
5287,10,8,0,2
5286,10,7,0,3
5285,10,8,0,2
5284,10,9,0,1
5283,10,9,0,1
5282,10,4,1,5
5281,10,5,2,3
5280,10,5,2,3
5279,10,5,2,3
5278,10,10,0,0
5277,10,10,0,0
5276,10,10,0,0
5275,10,10,0,0
5274,10,10,0,0
5273,10,10,0,0
5263,10,7,1,2
5262,10,5,1,4
5261,10,4,4,2
5260,10,7,2,1
5259,10,8,2,0
5258,10,10,0,0
5257,10,10,0,0
5256,10,10,0,0
5255,10,10,0,0
5254,10,10,0,0
5253,10,10,0,0
5252,10,10,0,0
5251,10,10,0,0
5250,10,10,0,0
5249,10,10,0,0
5248,10,10,0,0
5247,10,10,0,0
5246,10,10,0,0
5245,10,10,0,0
5244,10,10,0,0
5243,10,9,0,1
5242,10,10,0,0
5241,10,8,1,1
5240,10,8,0,2
5239,10,9,0,1
5238,10,7,1,2
5237,10,8,0,2
5236,10,9,0,1
5235,10,4,0,6
5234,10,9,0,1
5233,10,8,0,2
5232,10,10,0,0
5231,10,10,0,0
5230,10,10,0,0
5229,10,10,0,0
5228,10,10,0,0
5227,10,10,0,0
5226,10,10,0,0
5225,10,10,0,0
5224,10,10,0,0
5223,10,10,0,0
5222,10,10,0,0
5221,10,10,0,0
5220,10,10,0,0
5219,10,10,0,0
5218,10,10,0,0
5217,10,10,0,0
5216,10,10,0,0
5215,10,10,0,0
5214,10,10,0,0
5213,10,10,0,0
5212,10,10,0,0
5211,10,10,0,0
5210,10,10,0,0
5209,10,10,0,0
5208,10,10,0,0
5207,10,10,0,0
5206,10,10,0,0
5205,10,10,0,0
5204,10,10,0,0
5203,10,10,0,0
5202,10,10,0,0
5201,10,10,0,0
5200,10,10,0,0
5199,10,10,0,0
5198,10,10,0,0
5197,10,10,0,0
5196,10,10,0,0
5195,10,10,0,0
5194,10,10,0,0
5193,10,10,0,0
5192,10,10,0,0
5191,10,8,0,2
5190,10,10,0,0
5189,10,5,0,5
5188,10,10,0,0
5187,10,7,1,2
5186,10,0,3,7
5185,10,5,0,5
5184,10,5,0,5
5183,10,9,1,0
5182,10,10,0,0
5179,10,10,0,0
5178,10,10,0,0
5167,10,10,0,0
5166,10,6,0,4
5165,10,8,0,2
5164,10,7,3,0
5163,10,7,1,2
5162,10,10,0,0
5161,10,10,0,0
5160,10,10,0,0
5159,10,10,0,0
5158,10,10,0,0
5157,10,10,0,0
5156,10,10,0,0
5155,10,10,0,0
5154,10,10,0,0
5153,10,10,0,0
5152,10,10,0,0
5151,10,10,0,0
5150,10,10,0,0
5149,10,10,0,0
5148,10,10,0,0
