planning.unit,number,available,partial,reserved
5188,100,82,2,16
5187,100,76,6,18
5186,100,3,35,62
5185,100,41,15,44
5184,100,64,8,28
5183,100,81,2,17
5182,100,100,0,0
5179,100,100,0,0
5178,100,100,0,0
5167,100,100,0,0
5166,100,85,2,13
5165,100,75,3,22
5164,100,57,17,26
5163,100,72,13,15
5162,100,100,0,0
5161,100,100,0,0
5160,100,100,0,0
5159,100,100,0,0
5158,100,100,0,0
5157,100,100,0,0
5156,100,100,0,0
5155,100,100,0,0
5154,100,100,0,0
5153,100,100,0,0
5152,100,100,0,0
5151,100,100,0,0
5150,100,100,0,0
5149,100,100,0,0
5148,100,100,0,0
5147,100,97,0,3
5146,100,98,0,2
5145,100,91,4,5
5144,100,89,7,4
5143,100,72,8,20
5142,100,72,5,23
5141,100,66,4,30
5140,100,42,13,45
5139,100,66,10,24
5138,100,82,2,16
5137,100,76,5,19
5136,100,72,12,16
5135,100,84,9,7
5134,100,83,11,6
5133,100,99,0,1
5132,100,100,0,0
5131,100,100,0,0
5130,100,100,0,0
5129,100,100,0,0
5128,100,100,0,0
5127,100,100,0,0
5126,100,100,0,0
5125,100,100,0,0
5124,100,100,0,0
5123,100,100,0,0
5122,100,100,0,0
5121,100,100,0,0
5120,100,100,0,0
5119,100,100,0,0
5118,100,100,0,0
5117,100,100,0,0
5116,100,100,0,0
5115,100,100,0,0
5114,100,100,0,0
5113,100,100,0,0
5112,100,100,0,0
5111,100,100,0,0
5110,100,100,0,0
5109,100,100,0,0
5108,100,100,0,0
5107,100,100,0,0
5106,100,100,0,0
5105,100,100,0,0
5104,100,100,0,0
5103,100,100,0,0
5102,100,100,0,0
5101,100,100,0,0
5100,100,100,0,0
5099,100,100,0,0
5098,100,100,0,0
5097,100,100,0,0
5096,100,100,0,0
5095,100,100,0,0
5094,100,100,0,0
5093,100,83,0,17
5092,100,71,0,29
5091,100,85,1,14
5090,100,79,3,18
5089,100,13,33,54
5088,100,8,35,57
5087,100,4,35,61
5086,100,94,1,5
5073,100,82,1,17
5072,100,82,1,17
5071,100,90,1,9
5070,100,58,4,38
5069,100,88,2,10
5068,100,86,1,13
5067,100,84,1,15
5066,100,94,1,5
5065,100,92,0,8
5064,100,100,0,0
5063,100,100,0,0
5062,100,100,0,0
5061,100,100,0,0
5060,100,100,0,0
5059,100,100,0,0
5058,100,100,0,0
5057,100,100,0,0
5056,100,100,0,0
5055,100,100,0,0
5054,100,100,0,0
5053,100,100,0,0
5052,100,100,0,0
5051,100,100,0,0
5050,100,100,0,0
5049,100,100,0,0
5048,100,100,0,0
5047,100,100,0,0
5046,100,98,0,2
5045,100,29,33,38
5044,100,0,49,51
5043,100,23,34,43
5042,100,82,11,7
5041,100,79,0,21
5040,100,72,4,24
5039,100,66,5,29
5038,100,77,3,20
5037,100,80,4,16
5036,100,77,10,13
5035,100,85,12,3
5034,100,87,9,4
5033,100,95,0,5
5032,100,100,0,0
5031,100,100,0,0
5030,100,100,0,0
5029,100,100,0,0
5028,100,100,0,0
5027,100,100,0,0
5026,100,100,0,0
5025,100,100,0,0
5024,100,100,0,0
5023,100,100,0,0
5022,100,100,0,0
5021,100,100,0,0
5020,100,100,0,0
5019,100,100,0,0
5018,100,100,0,0
5017,100,100,0,0
5016,100,100,0,0
5015,100,100,0,0
5014,100,100,0,0
5013,100,100,0,0
5012,100,100,0,0
5011,100,100,0,0
5010,100,100,0,0
5009,100,100,0,0
5008,100,100,0,0
5007,100,100,0,0
5006,100,99,0,1
5005,100,100,0,0
5004,100,100,0,0
5003,100,100,0,0
5002,100,100,0,0
5001,100,100,0,0
5000,100,100,0,0
4999,100,100,0,0
4998,100,100,0,0
4997,100,100,0,0
4996,100,100,0,0
4995,100,100,0,0
4994,100,100,0,0
4993,100,100,0,0
4992,100,78,6,16
4991,100,41,21,38
4990,100,10,34,56
4989,100,12,33,55
4988,100,30,27,43
4987,100,93,3,4
4973,100,97,0,3
4972,100,98,0,2
4971,100,96,0,4
4970,100,55,7,38
4969,100,79,3,18
4968,100,89,1,10
4967,100,96,0,4
4966,100,95,0,5
4965,100,100,0,0
4964,100,100,0,0
4963,100,100,0,0
4962,100,100,0,0
4961,100,100,0,0
4960,100,100,0,0
4959,100,100,0,0
4958,100,100,0,0
4957,100,100,0,0
4956,100,100,0,0
4955,100,100,0,0
4954,100,100,0,0
4953,100,100,0,0
4952,100,100,0,0
4951,100,100,0,0
4950,100,100,0,0
4949,100,100,0,0
4948,100,100,0,0
4947,100,91,0,9
4946,100,43,14,43
4945,100,19,31,50
4944,100,9,42,49
4943,100,11,43,46
4942,100,7,44,49
4941,100,9,39,52
4940,100,94,1,5
4939,100,95,0,5
4938,100,91,2,7
4937,100,70,7,23
4936,100,77,6,17
4935,100,76,8,16
4934,100,82,13,5
4933,100,87,11,2
4932,100,99,0,1
4931,100,99,0,1
4930,100,100,0,0
4929,100,100,0,0
4928,100,100,0,0
4927,100,100,0,0
4926,100,100,0,0
4925,100,100,0,0
4924,100,100,0,0
4923,100,100,0,0
4922,100,100,0,0
4921,100,100,0,0
4920,100,98,0,2
4919,100,89,1,10
4918,100,91,1,8
4917,100,100,0,0
4916,100,100,0,0
4915,100,100,0,0
4914,100,100,0,0
4913,100,100,0,0
4912,100,100,0,0
4911,100,100,0,0
4910,100,100,0,0
4909,100,100,0,0
4908,100,100,0,0
4907,100,100,0,0
4906,100,100,0,0
4905,100,98,0,2
4904,100,100,0,0
4903,100,100,0,0
4902,100,100,0,0
4901,100,99,0,1
